Sygnatura czasowa,1.	Podaj swoją płeć. Zaznacz odpowiedź. ,2.	Podaj swój wiek (w latach):,3.	Do jakiej kategorii (I) należą uprawiane przez Ciebie sporty?,4.	Do jakiej kategorii (II) należą uprawiane przez Ciebie sporty?,5.	Do jakiej kategorii (III) należą uprawiane przez Ciebie sporty? ,6.	Jaki procent miesięcznych wydatków przeznaczasz na sport?   ,7.	Scharakteryzuj najczęściej używany przez Ciebie sprzęt sportowy. ,8.	Scharakteryzuj najczęściej używaną przez Ciebie odzież sportową. ,9.	Na co przeznaczasz zasadniczą część swoich wakacji (urlopu)? ,10.	Podaj główne czynniki mobilizujące Cię do podejmowania wysiłku fizycznego. ,11.	Czy palisz papierosy? Zaznacz odpowiedź. ,12.	Określ przeciętną długość Twego snu nocnego?  ,13.	Oceń swoje dotychczasowe postępy w nauce i pracy. ,14.	Określ poziom swojej sprawności fizycznej. ,15.	Określ poziom zadowolenia ze swojego życia. ,16.	Scharakteryzuj stan swojego zdrowia. 
2014-11-26 00:36:33,mężczyzna,21,"sporty letnie, sporty zimowe, sporty całoroczne","sporty uprawiane na świeżym powietrzu, sporty halowe","sporty indywidualnie (np. jogging, pływanie), sporty zespołowe (np. piłka nożna, hokej na lodzie)",5 – 20 %,"markowy, średniej klasy","markowa, średniej klasy",spotkania towarzyskie,"troska o zdrowie, troska o wygląd, przyjemność płynąca z uprawiania sportu",wcale,poniżej 5 h,dobre,wysoka,przeciętny,bardzo dobry
2014-11-26 00:37:19,mężczyzna,21,"sporty letnie, sporty zimowe, sporty całoroczne","sporty uprawiane na świeżym powietrzu, sporty halowe","sporty indywidualnie (np. jogging, pływanie), sporty zespołowe (np. piłka nożna, hokej na lodzie)",poniżej 5%,"markowy, wysokiej klasy","markowa, wysokiej klasy","turystyka piesza, uprawianie sportu","troska o zdrowie, troska o wygląd, przyjemność płynąca z uprawiania sportu",wcale,7-8 h,bardzo dobre,średnia,wysoki,bardzo dobry
2014-11-26 00:38:08,mężczyzna,21,"sporty letnie, sporty zimowe, sporty całoroczne","sporty uprawiane na świeżym powietrzu, sporty halowe","sporty indywidualnie (np. jogging, pływanie), sporty partnerskie (np. tenis ziemny, kajakarstwo, nurkowanie), sporty zespołowe (np. piłka nożna, hokej na lodzie)",powyżej 20 %,"markowy, wysokiej klasy","markowa, średniej klasy","turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa, spotkania towarzyskie, sen i lektura","troska o zdrowie, troska o wygląd, przyjemność płynąca z uprawiania sportu",wcale,7-8 h,bardzo dobre,wysoka,przeciętny,bardzo dobry
2014-11-26 00:38:45,kobieta,21,sporty całoroczne,sporty uprawiane na świeżym powietrzu,"sporty indywidualnie (np. jogging, pływanie)",poniżej 5%,"markowy, średniej klasy","markowa, wysokiej klasy","turystyka piesza, uprawianie sportu, turystyka poznawcza lub wypoczynkowa","troska o wygląd, przyjemność płynąca z uprawiania sportu",wcale,5-6 h,dobre,wysoka,wysoki,bardzo dobry
2014-11-26 00:46:09,kobieta,21,"sporty zimowe, sporty całoroczne","sporty uprawiane na świeżym powietrzu, sporty halowe","sporty indywidualnie (np. jogging, pływanie)",poniżej 5%,"markowy, średniej klasy","markowa, średniej klasy","spotkania towarzyskie, sen i lektura","troska o wygląd, przyjemność płynąca z uprawiania sportu",sporadycznie,powyżej 8 h,bardzo dobre,średnia,przeciętny,dobry
2014-11-26 00:47:12,kobieta,21,"sporty letnie, sporty zimowe, sporty całoroczne","sporty uprawiane na świeżym powietrzu, sporty halowe","sporty indywidualnie (np. jogging, pływanie), sporty partnerskie (np. tenis ziemny, kajakarstwo, nurkowanie), sporty zespołowe (np. piłka nożna, hokej na lodzie)",poniżej 5%,niemarkowy,niemarkowa,sen i lektura,troska o wygląd,wcale,5-6 h,dobre,średnia,niski,przeciętny
2014-11-26 00:50:37,mężczyzna,21,sporty całoroczne,sporty uprawiane na świeżym powietrzu,"sporty indywidualnie (np. jogging, pływanie)",poniżej 5%,niemarkowy,niemarkowa,"spotkania towarzyskie, sen i lektura","troska o zdrowie, troska o wygląd, przyjemność płynąca z uprawiania sportu",regularnie,5-6 h,dobre,niska,wysoki,przeciętny
2014-11-26 00:58:46,mężczyzna,,sporty letnie,sporty uprawiane na świeżym powietrzu,"sporty indywidualnie (np. jogging, pływanie)","poniżej 5%, 5 – 20 %","markowy, średniej klasy",niemarkowa,spotkania towarzyskie,"troska o wygląd, przyjemność płynąca z uprawiania sportu",sporadycznie,powyżej 8 h,dobre,średnia,przeciętny,przeciętny
2014-11-26 01:00:17,mężczyzna,21,"sporty letnie, sporty zimowe",sporty uprawiane na świeżym powietrzu,"sporty indywidualnie (np. jogging, pływanie), sporty partnerskie (np. tenis ziemny, kajakarstwo, nurkowanie)",5 – 20 %,"markowy, wysokiej klasy","markowa, wysokiej klasy","turystyka piesza, uprawianie sportu, spotkania towarzyskie",przyjemność płynąca z uprawiania sportu,wcale,poniżej 5 h,bardzo dobre,wysoka,wysoki,bardzo dobry
2014-11-26 01:00:35,kobieta,23,"sporty letnie, sporty całoroczne","sporty uprawiane na świeżym powietrzu, sporty halowe","sporty indywidualnie (np. jogging, pływanie), sporty zespołowe (np. piłka nożna, hokej na lodzie)",powyżej 20 %,niemarkowy,niemarkowa,"turystyka piesza, uprawianie sportu",przyjemność płynąca z uprawiania sportu,wcale,7-8 h,przeciętne,wysoka,przeciętny,"bardzo dobry, dobry"
